"10TH FRAME","ARCADE","17"
"180 DARTS","S. DEPORTIVO","20"
"1942","ARCADE","D"
"2112 AD","VIDEOAVENTURA","24"
"3D CODENAME MAT","ARCADE","X"
"3D DEATHCHASE","ARCADE","K"
"3D MONSTERS","ARCADE","J"
"3D STARSTRIKE","ARCADE","T"
"3D TANK DUEL","ARCADE","M"
"3D TANX","ARCADE","P"
"3D TUNNEL","ARCADE","I"
"7 CARD STUD","JUEGO DE MESA","R"
"911 TS","ARCADE","U"
"A VIEW TO A KILL","ARCADE","6-26"
"A.C.E.","ARCADE","X"
"ACADEMY","ARCADE","5-28"
"ACE OF ACES","SIMULADOR","3"
"ACROJET","SIMULADOR","10"
"AD ASTRA","ARCADE","M"
"AGENT ORANGE","ARCADE","13"
"AHH DIMDUMS","ARCADE","C"
"AIRWOLF II","ARCADE","17"
"AIRWOLF","ARCADE","I"
"AJUSTADOR DE CABEZALES","UTILIDAD","9"
"ALCHEMIST","VIDEOAVENTURA","C"
"ALIEN 8","VIDEOAVENTURA","H"
"ALIEN EVOLUTION","ARCADE","27"
"ALIEN HIGHWAY","ARCADE","7"
"ALIENS","ARCADE","15"
"AMAUROTE","ARCADE","19"
"AMERICAN BILLIARDS","S. DEPORTIVO","U"
"ANDROIDE I","ARCADE","B"
"ANDROIDE II","ARCADE","B"
"ANT ATTACK","ARCADE","Y"
"ANTIMATERIA","ARCADE","S"
"AQUAPLANE","ARCADE","C"
"ARC OF YESOD","VIDEOAVENTURA","11"
"ARCADIA","ARCADE","S"
"ARCHON","ARCADE","5"
"ARKANOID","ARCADE","2-20"
"ARMAGEDDON MAN","ESTRATEGIA","23"
"ARMY MOVES","ARCADE","5"
"ARQUIMEDES XXI","CONVERSACIONAL","23"
"ART STUDIO","UTILIDAD","6"
"ARTIST","UTILIDAD","11"
"ASTER","ARCADE","T"
"ASTERIX Y EL CALDERO MAGICO","ARCADE","X-28"
"ASTROBLASTER","ARCADE","13"
"ATIC ATAC","VIDEOAVENTURA","K"
"ATLANTIC CHALLENGE","SIMULADOR","18"
"ATTACK OF THE KILLER TOMATOES","VIDEOAVENTURA","24"
"AUFWIEDERSEHEN MONTY","ARCADE","7"
"AUTOMANIA","VIDEOAVENTURA","F"
"AUTOSTOPISTA GALACTICO","ARCADE","A"
"AVALON","VIDEOAVENTURA","E"
"AVENGER","VIDEOAVENTURA","5"
"B.C. BILL","ARCADE","N"
"BABALIBA","VIDEOAVENTURA","T"
"BACK TO SKOOL","ARCADE","30"
"BACK TO THE FUTURE","ARCADE","8"
"BACKGAMMON","JUEGO DE MESA","I"
"BAGDAD","ARCADE","U"
"BALLBLAZER","ARCADE","15"
"BANCOS","UTILIDAD","0"
"BANDERA A CUADROS","SIMULADOR","C"
"BARBARIAN","ARCADE","8"
"BARMY BURGER","ARCADE","P"
"BARRY McGUIGAN'S BOXING","S. DEPORTIVO","Q"
"BASKETBALL TWO ON TWO","S. DEPORTIVO","14"
"BATMAN","VIDEOAVENTURA","V"
"BATTLE FOR MIDWAY","ESTRATEGIA","32"
"BATTLE OF THE PLANETS","ARCADE","O"
"BATTLE OF THE ZOIDS","ARCADE","S"
"BATTLECARS","ARCADE","K-P"
"BATTY","ARCADE","29"
"BAZOOKA BILL","ARCADE","2"
"BC'S QUEST FOR TIRES","ARCADE","1"
"BEACH HEAD II","ARCADE","-31"
"BEACH HEAD","ARCADE","E-29"
"BEAR BOWER","ARCADE","Z"
"BENNY HILL","ARCADE","8"
"BETA BASIC","UTILIDAD","18"
"BIG BEN STRIKE AGAIN","ARCADE","3"
"BIGGLES","ARCADE","24"
"BILLAR","S. DEPORTIVO","I"
"BIORRITMOS","UTILIDAD","E"
"BISMARCK","ESTRATEGIA","8"
"BLACK HOLE","ARCADE","B"
"BLACK MAGIC","ARCADE","27"
"BLADE ALLEY","ARCADE","6"
"BLADE RUNNER","ARCADE","28"
"BLUE MAX","ARCADE","H"
"BLUE THUNDER","ARCADE","B"
"BMX SIMULATOR","ARCADE","19"
"BOMB JACK II","ARCADE","13"
"BOMB JACK","ARCADE","R"
"BOOTY","ARCADE","I"
"BORER DEEP","ARCADE","7"
"BORZAK","ARCADE","Z"
"BOULDER DASH II","ARCADE","O"
"BOULDER DASH III","ARCADE","22"
"BOULDER DASH","ARCADE","G"
"BOUNCES","ARCADE","30"
"BOUNDER","ARCADE","D"
"BOUNTY BOB STRIKES BACK","ARCADE","M"
"BRAINSTORM","ARCADE","7"
"BREAK THRU","ARCADE","Y"
"BRUCE LEE","ARCADE","F"
"BUBBLER","ARCADE","13-26"
"BUCK ROGERS","ARCADE","6"
"BUGABOO","ARCADE","H"
"BUGGY BLAST","ARCADE","F"
"BULLS EYE","JUEGO DE MESA","4"
"BUMP SET SPIKE!","ARCADE","18"
"BYTE MASTER","UTILIDAD","33"
"CAMELOT'S WARRIORS","ARCADE","Q"
"CASTILLO","ARCADE","U"
"CATCH 23","ARCADE","15"
"CAULDRON II","VIDEOAVENTURA","V-20"
"CAULDRON","VIDEOAVENTURA","N"
"CENTIPEDE","ARCADE","J"
"CHALLENGE OF GOBOTS","ARCADE","23"
"CHESS","JUEGO DE MESA","G"
"CHICAGO GANG","ARCADE","C"
"CHIMERA","VIDEOAVENTURA","Q"
"CHOPPER RESCUE","ARCADE","7"
"CHUCKIE EGG","ARCADE","B"
"CITY SLICKER","VIDEOAVENTURA","28"
"CLIFF HANGER","ARCADE","30"
"COBRA","ARCADE","Y"
"COBRA'S ARC","CONVERSACIONAL","R"
"CODENAME MAT II","ARCADE","R"
"COLOSSUS 4 CHESS","JUEGO DE MESA","15"
"COLOUR OF MAGIC","CONVERSACIONAL","9"
"COMBAT LYNX","SIMULADOR","G"
"COMBAT ZONE","ARCADE","A"
"COMMANDO","ARCADE","M-20"
"COMPILER","UTILIDAD","L"
"CONTABILIDAD PERSONAL","UTILIDAD","5"
"CONTABILIDAD","UTILIDAD","10"
"CONTABLE","UTILIDAD","0"
"CONTACT SAM CRUISE","VIDEOAVENTURA","10"
"CONTEXT V7","UTILIDAD","S"
"CONVOY RIDER","ARCADE","19"
"COOKIE","ARCADE","B"
"COP OUT","ARCADE","26"
"COPIADOR","UTILIDAD","U"
"COPION","UTILIDAD","B"
"COPYCAT 3","UTILIDAD","B"
"COSA NOSTRA","ARCADE","10"
"COSMIC CRUISER","ARCADE","B"
"COSMIC DEBRIS","ARCADE","1"
"COSMIC KANGA","ARCADE","Z"
"COSMIC WARTOAD","ARCADE","30"
"COW-BOY","ARCADE","T"
"CRASH CAR","ARCADE","U"
"CRAZY CLIMBER","ARCADE","26"
"CRAZY PINGOIN","ARCADE","25"
"CRITICAL MASS","ARCADE","N"
"CROSS","ARCADE","25"
"CRYSTAL CASTLES","ARCADE","27"
"CYBERUN","ARCADE","R"
"CYCLONE","ARCADE","F"
"CYRUS II","JUEGO DE MESA","28"
"CYRUS IS CHESS","JUEGO DE MESA","H"
"D-DAY","ESTRATEGIA","L"
"DALEY THOMPSON'S DECATLON","ARCADE","E"
"DALEY THOMPSON'S SUPER-TEST","ARCADE","K-33"
"DAN DARE","ARCADE","8"
"DANDY","ARCADE","26"
"DANGER MOUSE IN DOUBLE TROUBLE","ARCADE","U"
"DEATH STAR","ARCADE","T"
"DEATH WAKE","ARCADE","6"
"DEATHSCAPE","ARCADE","28"
"DEATHWISH III","ARCADE","17"
"DEEP STRIKE","ARCADE","1"
"DEFENDER","ARCADE","C"
"DEFENDER","ARCADE","V"
"DELTA WING","ARCADE","F"
"DEUS EX MACHINA","ARCADE","14"
"DEVPAC","UTILIDAD","Q"
"DICTATOR","ESTRATEGIA","32"
"DIGGER DAN","ARCADE","8"
"DIMENSION DESTRUCTORS","ARCADE","5"
"DINAMITE DAN II","ARCADE","4"
"DISCO DAN","ARCADE","22"
"DIZZY DICE","---","27"
"DOGFIGHT 2187","ARCADE","14"
"DONKEY KONG","ARCADE","20"
"DOOMSDAY CASTLE","ARCADE","B"
"DOUBLE TAKE","VIDEOAVENTURA","9"
