"MUGSY","CONVERSACIONAL","A"
"PAINTBOX","UTILIDAD","A"
"HUNCHBACK","ARCADE","A"
"ZAXXAN","ARCADE","A"
"TOWER OF EVIL","ARCADE","A"
"REVERSI","JUEGO DE MESA","A"
"HORACE GOES SKIING","ARCADE","A"
"HORACE AND THE SPIDERS","ARCADE","A"
"HUNGRY HORACE","ARCADE","A"
"MISSILE","ARCADE","A"
"PSYTRON","ARCADE","A"
"SPACE RAIDERS","ARCADE","A"
"PLANETOIDS","ARCADE","A"
"INTERCEPTOR COBALT","SIMULADOR","A"
"COMBAT ZONE","ARCADE","A"
"TRANZ AM","ARCADE","A"
"AUTOSTOPISTA GALACTICO","ARCADE","A"
"HIGH NOON","ARCADE","A"
"OLIMPICON","ARCADE","B"
"MATCH POINT","S. DEPORTIVO","B-E"
"THE BIRDS AND THE BEES","ARCADE","B"
"EL ESCALADOR LOCO","ARCADE","B"
"ZZOOM","ARCADE","B"
"ZIP ZAP","ARCADE","B"
"COPYCAT 3","UTILIDAD","B"
"COSMIC CRUISER","ARCADE","B"
"BLACK HOLE","ARCADE","B"
"CHUCKIE EGG","ARCADE","B"
"THE KEY","UTILIDAD","B"
"COOKIE","ARCADE","B"
"BLUE THUNDER","ARCADE","B"
"SPACE SHUTTLE","SIMULADOR","B"
"STATION ZEBRA","ARCADE","B"
"ANDROIDE II","ARCADE","B"
"INFRARED","UTILIDAD","B"
"ZX DISASSEMBLER","UTILIDAD","B"
"ANDROIDE I","ARCADE","B"
"DOOMSDAY CASTLE","ARCADE","B"
"SUPERCHESS","JUEGO DE MESA","C"
"THE HOBBIT","CONVERSACIONAL","C"
"HARRIER ATTACK","ARCADE","C"
"FRED","ARCADE","C"
"PIMBALL WIZARD","ARCADE","C"
"MELBOURNE DRAW","UTILIDAD","C"
"JUMPING JACK","ARCADE","C"
"GOBBLEMAN","ARCADE","C"
"AHH DIMDUMS","ARCADE","C"
"ORBITER","ARCADE","C"
"MOLAR MAUL","ARCADE","C"
"DEFENDER","ARCADE","C"
"ALCHEMIST","VIDEOAVENTURA","C"
"AQUAPLANE","ARCADE","C"
"XADOM","ARCADE","C"
"STAR TREK","SIMULADOR","C"
"MORSE","UTILIDAD","C"
"KNOT 3D","ARCADE","C"
"TUTOR","UTILIDAD","C"
"TANK TRAX","ARCADE","C"
"CHICAGO GANG","ARCADE","C"
"EL GOLPE","ARCADE","C"
"BANDERA A CUADROS","SIMULADOR","C"
"THE WAR OF THE WORLDS","VIDEOAVENTURA","E"
"KNIGHT DRIVER","ARCADE","E"
"JUMP CHALLENGER","ARCADE","E"
"THE FALL GUY","ARCADE","E-Y"
"AVALON","VIDEOAVENTURA","E"
"DALEY THOMPSON'S DECATLON","ARCADE","E"
"BEACH HEAD","ARCADE","E-29"
"WORLD CUP","ARCADE","E"
"SCUBA DIVE","ARCADE","E"
"BIORRITMOS","UTILIDAD","E"
"BRUCE LEE","ARCADE","F"
"CYCLONE","ARCADE","F"
"AUTOMANIA","VIDEOAVENTURA","F"
"EVERYONE'S A WALLY","VIDEOAVENTURA","F"
"HUNCHBACK II","ARCADE","F"
"ESKIMO EDDIE","ARCADE","F"
"WIZARD","ARCADE","F"
"DELTA WING","ARCADE","F"
"BUGGY BLAST","ARCADE","F"
"MONTY IS INOCENT","ARCADE","F"
"UNDERWURLDE","VIDEOAVENTURA","F-Z"
"VALHALLA","CONVERSACIONAL","F"
"PENETRATOR","ARCADE","F"
"COMBAT LYNX","SIMULADOR","G"
"TORNADO LOW LEVEL","ARCADE","G"
"KNIGHT'S LORE","VIDEOAVENTURA","G-U"
"THE HULK","CONVERSACIONAL","G"
"SAIMAZOON","VIDEOAVENTURA","G"
"FLIGHT SIMULATOR","SIMULADOR","G"
"Z-MAN","ARCADE","G"
"JACK AND THE BEANSTALK","ARCADE","G"
"TERROR DAKTIL 4D","ARCADE","G"
"ENSAMBLADOR","UTILIDAD","G"
"BOULDER DASH","ARCADE","G"
"HELLFIRE","ARCADE","G"
"GAMES DESIGNER","UTILIDAD","G"
"METEOROIDS","ARCADE","G"
"CHESS","JUEGO DE MESA","G"
"FRENZY","ARCADE","G"
"GIFT FROM THE GODS","ARCADE","H"
"ENDURO","ARCADE","H"
"BLUE MAX","ARCADE","H"
"MATCH DAY","S. DEPORTIVO","H"
"ALIEN 8","VIDEOAVENTURA","H"
"RIVER RAID","ARCADE","H"
"LUNAR JETMAN","ARCADE","H"
"CYRUS IS CHESS","JUEGO DE MESA","H"
"GREMLINS","CONVERSACIONAL","H"
"STRIP POKER","JUEGO DE MESA","H"
"BUGABOO","ARCADE","H"
"SKOOL DAZE","ARCADE","H-W"
"HYPERSPORTS","ARCADE","H-32"
"TAPPER","ARCADE","H-23"
"SPORT HERO","ARCADE","I"
"BOOTY","ARCADE","I"
"PAINTER","ARCADE","I"
"INVADERS","ARCADE","I"
"AIRWOLF","ARCADE","I"
"WORSE SEA","ARCADE","I"
"JET SET WILLY","ARCADE","I"
"SNAKE PIT","ARCADE","I"
"BILLAR","S. DEPORTIVO","I"
"ROCKS","ARCADE","I"
"TIR NA NOG","VIDEOAVENTURA","I"
"RAID OVER MOSCOW","ARCADE","I"
"SPY HUNTER","ARCADE","I-30"
"BACKGAMMON","JUEGO DE MESA","I"
"MILLIPEDE","ARCADE","I"
"3D TUNNEL","ARCADE","I"
"VU-FILE","UTILIDAD","I-M"
"MASTER FILE","UTILIDAD","I"
"TIME GATE","ARCADE","J"
"HUNTER KILLER","SIMULADOR","J"
"SPECTRUM CHESS","JUEGO DE MESA","J"
"SOLITARIO","JUEGO DE MESA","J"
"TABLA PERIODICA","UTILIDAD","J"
"FUN AT THE FAIR","ARCADE","J"
"SPAWN OF EVIL","ARCADE","J"
"YENGHT","CONVERSACIONAL","J"
"MANIC MINER","ARCADE","J-W"
"SCRABBLE","JUEGO DE MESA","J"
"MAZIACS","ARCADE","J"
"GALAXIANS","ARCADE","J"
"GHOSTBUSTERS","ARCADE","J"
"SPACE INTRUDERS","ARCADE","J"
"3D MONSTERS","ARCADE","J"
"NIGHTFLITE","ARCADE","J"
"CENTIPEDE","ARCADE","J"
"LEAGUE CRICKET","S. DEPORTIVO","J"
"TRANSYLVANIAN TOWER","ARCADE","J"
"KONG STRIKES BACK","ARCADE","K"
"PROFANATION","VIDEOAVENTURA","K"
"LORDS OF MIDNIGHT","CONVERSACIONAL","K"
"GYRON","ARCADE","K"
"TRAVEL WITH TRASHMAN","ARCADE","K-P"
"BATTLECARS","ARCADE","K-P"
"THE DUKES OF HAZZARD","ARCADE","L"
"ZAXXON","ARCADE","X"
"ANT ATTACK","ARCADE","Y"
"3D DEATHCHASE","ARCADE","K"
"JET PAC","ARCADE","K"
"ATIC ATAC","VIDEOAVENTURA","K"
"3D CODENAME MAT","ARCADE","X"
"3D STARSTRIKE","ARCADE","T"
"FIGHTER PILOT","SIMULADOR","Y"
"SUPERCOMECOCOS","ARCADE","X"
"PHEENIX","ARCADE","X"
"SHADOWFIRE","VIDEOAVENTURA","H"
"PSST","ARCADE","J"
"D-DAY","ESTRATEGIA","L"
"SABREWULF","VIDEOAVENTURA","J"
"ONE ON ONE","ARCADE","K"
"DALEY THOMPSON'S SUPER-TEST","ARCADE","K-33"
"FRANKIE GOES TO HOLLYWOOD","VIDEOAVENTURA","L"
"THE PYRAMID","ARCADE","L"
"SORCERY","ARCADE","L"
"THE WAY OF THE EXPLODING FIST","ARCADE","L-32"
"POOL","S. DEPORTIVO","L"
"WEST BANK","ARCADE","L"
"SOUTHERN BELLE","SIMULADOR","L-31"
"POLE POSITION","ARCADE","L"
"POPEYE","ARCADE","L-25"
"BOUNTY BOB STRIKES BACK","ARCADE","M"
"AD ASTRA","ARCADE","M"
"3D TANK DUEL","ARCADE","M"
